Listing Directory...
55.csv	607
0.csv	76028
1.csv	7863
2.csv	12292
3.csv	26924
4.csv	2277
5.csv	7997
6.csv	630
7.csv	6267
8.csv	11603
9.csv	7619
10.csv	89832
11.csv	15704
12.csv	42638
13.csv	27938
14.csv	17017
15.csv	13455
16.csv	33549
17.csv	53871
18.csv	145191
19.csv	20244
20.csv	27912
21.csv	132800
22.csv	36128
23.csv	1759
24.csv	7335
25.csv	35149
26.csv	89738
27.csv	7226
28.csv	13579
29.csv	339101
30.csv	211244
31.csv	1410
32.csv	256
Input file name...
18.csv
CG5,76,2000,2120,15.158488,102.613620,13767.56,0.000000,0.000000,0.00,12853.65,22.20,5.36,167.59,12865.35,12.94,14.06,167.26,12.63,13.44
CG5,77,2713,2120,15.158330,102.613380,13781.40,0.000000,0.000000,0.00,12868.24,22.16,5.26,167.18,12880.05,12.88,14.09,166.85,12.50,13.48
CG5,78,1286,2120,15.158153,102.613200,13796.95,0.000000,0.000000,0.00,12879.91,22.14,5.32,166.86,13129.46,-11.56,15.25,160.02,12.50,13.40
CG5,79,2792,2120,15.157925,102.613020,13812.73,0.000000,0.000000,0.00,12897.07,22.11,5.23,166.38,12905.35,12.80,14.12,166.15,12.44,13.42
CG5,80,1208,2120,15.157719,102.612880,13823.89,0.000000,0.000000,0.00,12906.76,22.09,5.34,166.11,13154.80,-11.59,15.29,159.33,12.38,13.44
CG5,81,2786,2120,15.157556,102.612790,13837.21,0.000000,0.000000,0.00,12920.01,22.07,5.44,165.74,12928.58,12.68,14.21,165.50,12.31,13.46
CG5,82,1214,2120,15.157443,102.612660,13850.87,0.000000,0.000000,0.00,12932.47,22.04,5.52,165.40,13165.73,-10.07,15.24,159.04,12.31,13.44
CG5,83,2785,2120,15.157264,102.612480,13869.05,0.000000,0.000000,0.00,12951.94,22.02,5.51,164.86,12960.80,12.62,14.24,164.61,12.25,13.42
CG5,84,1965,2120,15.157136,102.612270,13884.55,0.000000,0.000000,0.00,12962.90,21.97,5.42,164.56,13106.33,-0.51,14.85,160.64,12.19,13.42
CG5,85,1249,2120,15.157050,102.612030,13894.78,0.000000,0.000000,0.00,12977.40,22.00,5.44,164.16,12987.44,12.55,14.18,163.88,12.19,13.46
CG5,86,2000,2120,15.156938,102.611760,13906.49,0.000000,0.000000,0.00,12987.48,21.91,5.43,163.88,12999.16,12.46,13.94,163.56,12.13,13.42
CG5,87,2000,2120,15.156859,102.611530,13918.00,0.000000,0.000000,0.00,12997.99,21.86,5.21,163.59,13008.84,12.41,13.97,163.29,12.13,13.48
CG5,88,2000,2120,15.156821,102.611300,13930.49,0.000000,0.000000,0.00,13010.62,21.83,5.02,163.24,13020.71,12.36,14.03,162.97,12.06,13.44
CG5,89,2000,2120,15.156741,102.611100,13943.94,0.000000,0.000000,0.00,13023.18,21.81,5.05,162.90,13032.66,12.34,14.03,162.64,12.00,13.48
CG5,90,2713,2120,15.156658,102.610940,13957.81,0.000000,0.000000,0.00,13035.96,21.77,5.14,162.55,13045.52,12.29,14.15,162.29,11.94,13.46
CG5,91,1286,2120,15.156555,102.610780,13969.66,0.000000,0.000000,0.00,13047.94,21.81,5.14,162.23,13063.82,11.53,14.20,161.79,11.94,13.40
CG5,92,1999,2120,15.156410,102.610630,13979.49,0.000000,0.000000,0.00,13059.11,21.73,5.16,161.92,13066.78,12.22,14.21,161.71,11.88,13.42
CG5,93,1999,2120,15.156243,102.610440,13990.79,0.000000,0.000000,0.00,13067.60,21.71,5.27,161.69,13076.42,12.18,14.20,161.45,11.88,13.48
CG5,94,1999,2120,15.156074,102.610250,14001.81,0.000000,0.000000,0.00,13078.15,21.70,5.42,161.40,13085.54,12.16,14.27,161.20,11.81,13.46
CG5,95,2000,2120,15.155903,102.610080,14013.51,0.000000,0.000000,0.00,13088.78,21.66,5.33,161.12,13099.00,12.13,14.23,160.84,11.81,13.44
CG5,96,2000,2120,15.155738,102.609920,14026.17,0.000000,0.000000,0.00,13097.69,21.62,5.15,160.87,13110.49,12.09,14.21,160.53,11.81,13.46
CG5,97,2000,2120,15.155632,102.609780,14036.43,0.000000,0.000000,0.00,13112.17,21.57,5.12,160.48,13124.00,12.06,14.20,160.16,11.75,13.42
CG5,98,2000,2120,15.155552,102.609560,14050.69,0.000000,0.000000,0.00,13126.10,21.54,5.18,160.11,13137.28,12.01,14.25,159.81,11.75,13.44
CG5,99,2000,2120,15.155459,102.609280,14065.97,0.000000,0.000000,0.00,13140.13,21.48,5.13,159.73,13149.32,11.96,14.24,159.48,11.69,13.42
CG5,100,2698,2120,15.155421,102.609010,14082.16,0.000000,0.000000,0.00,13155.66,21.46,4.97,159.31,13164.61,11.93,14.26,159.07,11.63,13.46
CG5,101,2000,2120,15.155370,102.608740,14096.66,0.000000,0.000000,0.00,13167.04,21.43,4.82,159.01,13178.54,11.92,14.24,158.70,11.56,13.42
CG5,102,1302,2120,15.155376,102.608450,14106.46,0.000000,0.000000,0.00,13178.04,21.39,4.96,158.71,13186.64,11.85,14.26,158.48,11.50,13.48
CG5,103,2000,2120,15.155422,102.608190,14116.52,0.000000,0.000000,0.00,13187.23,21.39,4.99,158.47,13195.50,11.77,14.25,158.24,11.44,13.42
CG5,104,2000,2120,15.155421,102.607930,14128.25,0.000000,0.000000,0.00,13200.82,21.36,5.14,158.10,13209.35,11.71,14.33,157.87,11.44,13.42
CG5,105,2000,2120,15.155417,102.607620,14139.75,0.000000,0.000000,0.00,13212.28,21.34,5.28,157.80,13220.48,11.67,14.31,157.58,11.38,13.46
CG5,106,1999,2120,15.155405,102.607290,14152.86,0.000000,0.000000,0.00,13225.00,21.29,5.35,157.46,13234.13,11.63,14.38,157.22,11.31,13.42
CG5,107,1999,2120,15.155325,102.607020,14167.38,0.000000,0.000000,0.00,13240.04,21.26,5.32,157.06,13249.72,11.59,14.37,156.80,11.31,13.46
CG5,108,1999,2120,15.155264,102.606740,14183.91,0.000000,0.000000,0.00,13255.25,21.23,5.25,156.65,13265.30,11.58,14.33,156.39,11.25,13.40
CG5,109,1999,2120,15.155245,102.606510,14199.83,0.000000,0.000000,0.00,13268.50,21.20,5.18,156.30,13278.43,11.52,14.28,156.04,11.25,13.46
CG5,110,1999,2120,15.155214,102.606340,14212.51,0.000000,0.000000,0.00,13281.00,21.17,5.14,155.97,13290.64,11.50,14.27,155.72,11.19,13.48
CG5,111,2000,2120,15.155183,102.606120,14226.12,0.000000,0.000000,0.00,13296.02,21.14,5.19,155.58,13304.71,11.44,14.27,155.35,11.13,13.46
